name,source,gender,wikidata,type
"Vacher Regnitzbrücke",,,,way
"Vacher Zennbrücke",,,,way
Veilchenweg,,,,way
Venusweg,,,,way
"Vestner Weg",,,,way
Vitaparcours,,,,way
Volckamerstraße,,,,way
Waaggasse,,,,way
Waagplatz,,,,way
Waagstraße,,,,way
"Wachendorfer Weg",,,,way
Wacholderweg,,,,way
Waldackerweg,,,,way
Waldmeisterstraße,,,,way
Waldstraße,,,,way
Wasserreuthweg,,,,way
Wasserstraße,,,,way
"Wehlauer Straße",,,,way
Weidenstraße,,,,way
"Weiherhofer Straße",,,,way
"Weiherhofer Weg",,,,way
Weiherstraße,,,,way
"Weikershofer Straße",,,,way
Weinbergstraße,,,,way
Weißdornweg,,,,way
Weizenstraße,,,,way
Werkstraße,,,,way
Wespenstraße,,,,way
"Westliche Hummelstraße",,,,way
"Westliche Waldringstraße",,,,way
"Westumgehung FÜ",,,,way
"Westumgehung FÜ Variante2",,,,way
"Wetzlarer Straße",,,,way
Wickenstraße,,,,way
Widderstraße,,,,way
Wiesengrundstraße,,,,way
Wiesenstraße,,,,way
Wilhelm-Busch-Straße,,,,way
"Wilhelmshavener Straße",,,,way
Zaunkönigweg,,,,way
Zaunstraße,,,,way
Zedernstraße,,,,way
Zeisigweg,,,,way
Ziegelhüttenweg,,,,way
"Zum Ried",,,,way
"Zum Ringelgraben",,,,way
"Zum Vogelsang",,,,way
"Zur Eschenau",,,,way
"Zur Kühschanze",,,,way
